Address_Line_1,Address_Line_2,Address_Line_3,Address_Line_4,Address_Line_5,Postcode
UNIT 3,39-41 MOORBRIDGE ROAD,MAIDENHEAD,BERKSHIRE,,SL6 8LT
4 WORKSHOP,PERCY ROAD,DARLINGTON,,,DL3 0RX
SAXON HOUSE,HENSON WAY,TELFORD WAY INDUSTRIAL ESTATE,KETTERING,NN16 8PX,NN16 8PX
1 QUARRY ROAD,NORTHAMPTON,NN5 6NT,,,NN5 6NT
METER R/O UNIT 54 UNKNOWN SUPPLY,DALTON PARK,MURTON,SEAHAM,,SR7 9HU
UNIT 17,MAITLAND ROAD,NEEDHAM MARKET,IPSWICH,IP6 8NZ,IP6 8NZ
NORTH MALTING THE MALTINGS,FELAW STREET,IPSWICH,IP2 8HD,,IP2 8HD
19-21 REGENT STREET,,,,CAMBRIDGE,CB2 1AB
UNIT 3 RIVERSIDE HOUSE,24 LOWER SOUTHEND ROAD,WICKFORD,,,SS11 8AW
WORKSHOP JOHNS AUTOS,TEMPERANCE PLACE,DARLINGTON,,,DL3 6LP
WEMBLEY GARDENS,,CAMBOIS,BLYTH,,NE24 1RZ
SITE 4/5,COQUET ENTERPRISE PARK,AMBLE,MORPETH,,NE65 0PE
SHOP,68 EASTBOURNE ROAD,MIDDLESBROUGH,,,TS5 6QL
UNIT 3,ALBERT ROAD,RUSHDEN,NN10 0BU,,NN10 0BU
3 CARR STREET,BLYTH,,,,NE24 4NG
LINCOLN ROAD,NETTLEHAM,LINCOLN,LN2 2NE,,LN2 2NE
"1 Church Lane, Field",,,,,CO3 8PB
IN WAREHOUSE,ATLAS RD,,LONDON,,NW10 6DD
CHARFLEETS ROAD,,,CANVEY ISLAND,,SS8 0SG
Crackenedge Lane,Dewsbury,West Yorkshire ,,,WF13 1PT
TOILETS & PREMISES,PARK ROAD,ASHINGTON,,,NE63 9NF
SHOP,66 STATION ROAD,UPMINSTER,,,RM14 2TD
IMPERIAL WAY,,WATFORD,HERTFORDHSIRE,,WD24 4LQ
Trough Field Supply,Delgate Bank,Weston Hills,SPALDING,,PE12 6DW
Brankley House,Plot 6,Far End,Boothby Graffoe,LINCOLN,LN5 0LG
UNIT 7 CLIFFSIDE TRADE PARK,MOTHERWELL WAY,GRAYS,,,RM20 3XD
SOUTHWICK GOLD GLOVES 1ST FLR,24 THE GREEN,SOUTHWICK,SUNDERLAND,,SR5 2JE
5 WOODSIDE PARADE,257 WOODSIDE,LEIGH ON SEA,,,SS9 4SS
185 FELIXSTOWE ROAD,IPSWICH,IP3 9BJ,,,IP3 9BJ
2 CORNWALLIS ROAD,,,,LINCOLN,LN3 4PD
RIVERS EDGE HOTEL RIVERSIDE PARK,GREEN LANE,FRIARS GOOSE,GATESHEAD,,NE10 0SB
METER FOR UNIT 7 & UNIT 8,SOUTHCHURCH ROAD,.,SOUTHEND ON SEA,.,SS1 2PE
1A MIDDLESBROUGH ROAD WEST,SOUTH BANK,MIDDLESBROUGH,,,TS6 6NS
N11,Mablethorpe Chalet Park,Links Avenue,MABLETHORPE,,LN12 1QN
1-3 DEWEY ROAD,,,DAGENHAM,,RM10 8AR
UNIT 5,BRINELL WAY,GREAT YARMOUTH,,,NR31 0LU
Unit 7,Telford Park,"Telford Road,","Clacton on Sea, Essex",,CO15 4LP
.,.,2 HAMPDEN ROAD,.,HITCHIN,SG4 0LD
UNIT 5D INDUSTRIAL ESTATE,GALLAMORE LANE,MARKET RASEN,LN8 3HZ,,LN8 3HZ
9/10 2ND METER,DEFENDER COURT,SUNDERLAND,,,SR5 3PE
15-17 SHOP,WEST PERCY STREET,NORTH SHIELDS,,,NE29 0AH
Haigh Street,LIVERPOOL,,,,L3 8NP
FACTORY INSHORE FISH & FROZEN FDS,TOD POINT ROAD,REDCAR,,,TS10 5BE
Glassthorpe Lane,Hill Farm,Trough,Harpole,NORTHAMPTON,NN7 4DU
BLAKE AVENUE,,BARKING,DAGENHAM,,IG11 9RT
WARWICK HOUSE,48 COLLINGWOOD ROAD,WITHAM,,,CM8 2DZ
1-2 1ST FLR,RAILWAY TERRACE,SUNDERLAND,,,SR4 0PA
UNIT 1 LLOYDS COURT,CLEVELAND STREET,DARLINGTON,,,DL1 2PB
3,CAUTLEY ROAD,,,SOUTHWOLD,IP18 6DD
BALFOUR BEATTY RAIL OFFICES,FELIXSTOWE RD,,LONDON,,SE2 9RN
"DUNE, EAST FARM HOUSE",EMBLETON,ALNWICK,,,NE66 3XB
UNIT 2,LUSTRUM AVENUE,STOCKTON ON TEES,,,TS18 2RB
41 GASKELL AVENUE,SOUTH SHIELDS,,,,NE34 9TQ
9 Scossels,Glemsford,SUDBURY,,,CO10 7UR
66 SHOP - UNIT 11,HUDSON STREET,NORTH SHIELDS,,,NE30 1DL
SHOP,1B MAIN STREET,CRAWCROOK,RYTON,,NE40 4TX
TAP SUPPLY - ST NICHOLAS CEMETERY,NUNS MOOR ROAD,NEWCASTLE UPON TYNE,,,NE4 9AU
Unit 2,Top Angel,Buckingham Industrial Estate,BUCKINGHAM,MK18 1TH,MK18 1TH
OFFICE R/O 71,HIGH STREET,CANVEY ISLAND,,,SS8 7RD
FINNINGLEY QUARRY,CROFT ROAD,FINNINGLEY,DONCASTER,,DN9 3DW
LAND USED FOR STORAGE ADJ 2-3,SUNRISE LANE,HOUGHTON LE SPRING,,,DH4 5AL
MOORFIELD ROAD,DUXFORD,CAMBRIDGE,CB22 4PS,,CB22 4PS
27 High Street,MABLETHORPE,,,,LN12 1AF
7 MIDDLE STREET,CORRINGHAM,GAINSBOROUGH,DN21 5QR,,DN21 5QR
BEDFORD HOUSE,112 LINTHORPE ROAD,MIDDLESBROUGH,,,TS1 2JR
UNIT 3,BLACKSTONE ROAD,STUKELEY MEADOWS IND. ESTATE,HUNTINGDON,PE29 6EF,PE29 6EF
UNIT 13 LAND NORTH OF JOHNSTON SWEEPERS," CASTLE ROAD, SITTINGBOURNE",KENT,,,ME10 3JP
UNIT I WALLAW BUILDINGS,WOODHORN ROAD,ASHINGTON,,,NE63 9UX
UNIT F4,MERCIA WAY,FOXHILLS INDUSTRIAL ESTATE,SCUNTHORPE,DN15 8RE,DN15 8RE
11B MIDDLETON GRANGE,HARTLEPOOL,,,,TS24 7RS
METER- OLD CLUB PREM  & RUSSELS PL.,NORTH TERRACE,WEST ALLOTMENT,NEWCASTLE UPON TYNE,,NE27 0DN
17 EASTGATE,SLEAFORD,NG34 7DW,,,NG34 7DW
6 DOOLITTLE MILL,AMPTHILL,BEDFORD,MK45 2ND,,MK45 2ND
UNIT 13 RIVERSIDE BUSINESS SUITES,AMETHYST ROAD,NEWCASTLE UPON TYNE,,,NE4 7YL
5a Church Street,Coggeshall,COLCHESTER,,,CO6 1TU
RUSTON HOUSE,WATERSIDE SOUTH,LINCOLN,LN5 7FD,,LN5 7FD
HUNTERS ROAD,,SPITAL TONGUES,NEWCASTLE UPON TYNE,,NE2 4NE
4/7 UNIT BT B,LYNMOUTH ROAD,NORTH SHIELDS,,,NE29 7TY
Midwest Business Park,Washway Road,Holbeach,SPALDING,,PE12 8JB
.,THE OLD CHAPEL,HEXTON,.,HITCHIN,SG5 3HX
DOCKING FARM - MEADOW,OULTON,NORWICH,,,NR11 6QZ
UNIT 19,ALLIANCE INDUSTRIAL ESTATE,DARLINGTON,,,DL1 2PA
20A 1ST & 2ND FLOORS,FREDERICK STREET,SOUTH SHIELDS,,,NE33 5AE
ASHURST,SOUTHGATE PARK,ORTON SOUTHGATE,PETERBOROUGH,PE2 6YS,PE2 6YS
8 THE ARCADE,PETERBOROUGH,PE1 1PY,,,PE1 1PY
CAR PARK,CAMPBELL PARK ROAD,HEBBURN,,,NE31 2SN
Fornham All Saints,BURY ST. EDMUNDS,,,,IP28 6JH
FRESH WHARF DEVELOPMENT,HIGHBRIDGE ROAD,BARKING,,,IG11 7BP
Shop H,Princes Street,HUNTINGDON,,,PE29 3LN
ORFORD YARD,NORWICH,NR1 3TB,,,NR1 3TB
17 NEWLANDS,WITHAM,,,,CM8 2AP
BROOMFIELD GRANGE NURSING HOME,PUDDINGS WOOD LANE,BROOMFIELD,CHELMSFORD,,CM1 7FG
Land Adjacent to Holly Cottage,,,,,IP8 3JD
LEMINGTON TRAVELLERS CARAVAN SITE,NEWBURN HAUGH,NEWCASTLE UPON TYNE,,,NE15 8SG
SITE OFFICE,STATION,,LONDON,,SE13 5FT
Land Off Plot 8,Drain Bank North,Cowbit,SPALDING,,PE12 6FR
Units 8a/8b,Unit 2,Riverside Retail Park,NORWICH,,NR1 1WR
BINSTORE,BRUFF ROAD,IPSWICH,IP2 8EF,,IP2 8EF
THE PHARMACY,RAVENSWORTH ROAD,GATESHEAD,,,NE11 9AZ
"OFFICE 13 GND FLR, GROUNDSTAR HSE",FREIGHT VILLAGE,WOOLSINGTON,NEWCASTLE UPON TYNE,,NE13 8BH
